id,tipo_zona,frente_lote,calle,forma_lote,nombre_zona,tipo_edificio,estilo,calidad_gral,condicion_gral,año_construccion,calidad_exteriores,material_exteriores,condicion_exteriores,calidad_sotano,condicion_sotano,tipo_sotano,calefaccion,calidad_calefaccion,aire_acondicionado,baños_completos,baños_medios,recamaras_sup,calidad_cocina,cuartos_sup,tipo_garage,terminado_garage,num_coches,calidad_garage,condicion_garage,año_venta,mes_venta,tipo_venta,condicion_venta,lat,long,area_sotano_m2,area_1er_piso_m2,area_2o_piso_m2,area_habitable_sup_m2,area_garage_m2,area_lote_m2,precio_miles,valor_misc_miles,precio_m2_miles,precio_m2
369,RL,78,Pave,Reg,NAmes,1Fam,1Story,5,6,1954,TA,HdBoard,TA,TA,TA,LwQ,GasA,Gd,Y,1,0,2,TA,7,Attchd,Fin,1,TA,TA,2010,3,WD,Normal,42.042966,-93.613556,117.801004,117.801004,0,117.801004,22.668332,724.6434,132,0,1.120533743498485,1120.533743498485
1223,RL,78,Pave,Reg,NAmes,1Fam,1.5Fin,6,6,1949,TA,Wd Sdng,TA,TA,TA,Rec,GasA,Ex,Y,2,0,3,TA,7,Attchd,Unf,1,TA,TA,2007,1,WD,Normal,42.042966,-93.613556,96.61912,108.510704,62.988234,171.498938,29.264445,975.109888,143,0,0.8338244053732857,833.8244053732857
378,FV,102,Pave,IR1,Somerst,1Fam,2Story,8,5,2004,Gd,CemntBd,TA,Gd,TA,Unf,GasA,Ex,Y,3,0,4,Gd,8,Attchd,RFn,2,TA,TA,2007,12,WD,Normal,42.052191,-93.643479,146.78674,146.78674,82.312058,229.098798,56.67083,1035.218129,340,0,1.4840758789140396,1484.0758789140395
474,RL,110,Pave,IR1,NridgHt,1Fam,1Story,8,5,2006,Gd,VinylSd,TA,Ex,TA,GLQ,GasA,Ex,Y,2,0,2,Gd,7,Attchd,RFn,3,TA,TA,2007,7,New,Partial,42.060356,-93.657107,183.576328,183.576328,0,183.576328,84.355924,1391.408231,440,0,2.396823189534546,2396.823189534546
1013,RL,55,Pave,Reg,Crawfor,1Fam,2Story,6,7,1923,TA,Wd Sdng,Gd,TA,Fa,Unf,GasA,TA,Y,1,1,3,Gd,7,Detchd,Unf,1,TA,TA,2007,8,WD,Normal,42.025949,-93.620215,55.927606,83.6127,55.927606,139.540306,16.72254,984.028576,165,0,1.1824540502297596,1182.4540502297596
477,RL,75,Pave,Reg,CollgCr,1Fam,1Story,6,5,1997,TA,VinylSd,TA,Gd,TA,GLQ,GasA,Ex,Y,2,0,3,Gd,7,Attchd,Fin,2,TA,TA,2008,4,WD,Normal,42.021051,-93.685643,137.310634,138.704179,0,138.704179,47.194724,1219.351875,208.9,0,1.5060829565921008,1506.0829565921008
140,RL,65,Pave,IR1,CollgCr,1Fam,2Story,6,5,1997,TA,VinylSd,TA,Gd,TA,GLQ,GasA,Ex,Y,2,1,3,Gd,7,Attchd,RFn,2,TA,TA,2009,8,WD,Normal,42.021051,-93.685643,86.213984,86.213984,77.666908,163.880892,43.66441,1433.121678,231.5,0,1.412611300651207,1412.611300651207
741,RM,60,Pave,Reg,OldTown,1Fam,2Story,5,7,1910,TA,Wd Sdng,Gd,Fa,Fa,Unf,GasA,Ex,Y,2,0,2,TA,7,Detchd,Unf,2,TA,Gd,2007,5,WD,Abnorml,42.028863,-93.615497,24.526392,71.349504,61.687592,133.037096,33.44508,891.8688,132,0,0.9922044600251948,992.2044600251947
482,RL,72,Pave,IR1,NridgHt,1Fam,1Story,9,5,2003,Gd,VinylSd,TA,Ex,TA,GLQ,GasA,Ex,Y,2,0,2,Ex,6,Attchd,Fin,3,TA,TA,2006,8,WD,Normal,42.060356,-93.657107,166.482176,166.482176,0,166.482176,81.197222,1100.528938,374,0,2.2464867350124016,2246.4867350124014
451,RM,70,Pave,Reg,OldTown,1Fam,1Story,6,8,1930,TA,Wd Sdng,TA,TA,TA,Unf,GasA,Ex,Y,1,0,2,Gd,5,Detchd,Unf,1,Fa,Fa,2006,6,WD,Normal,42.028863,-93.615497,75.530139,75.530139,0,75.530139,25.08381,528.060652,110,0,1.4563722701476822,1456.3722701476822
1132,RL,63,Pave,Reg,Mitchel,1Fam,1Story,5,5,1991,TA,HdBoard,TA,Gd,TA,BLQ,GasA,TA,Y,1,0,3,TA,5,NA,NA,0,NA,NA,2007,9,Oth,Abnorml,42.031307,-93.626967,90.487522,90.487522,0,90.487522,0,995.176936,93.5,0,1.0332916399235688,1033.2916399235687
1446,RL,70,Pave,Reg,Sawyer,1Fam,SFoyer,6,5,1966,TA,VinylSd,TA,TA,TA,LwQ,GasA,Gd,Y,1,0,3,TA,6,Detchd,Unf,1,TA,TA,2007,5,WD,Normal,42.033611,-93.669348,75.623042,84.820439,0,84.820439,22.29672,780.3851999999999,129,0,1.520859848414602,1520.859848414602
242,RM,40,Pave,Reg,OldTown,1Fam,1Story,5,9,1945,TA,VinylSd,Gd,TA,TA,ALQ,GasA,Gd,Y,1,0,2,Gd,4,NA,NA,0,NA,NA,2007,8,WD,Normal,42.028863,-93.615497,63.731457999999996,80.453998,0,80.453998,0,360.46364,110.5,0,1.3734556733899042,1373.4556733899042
47,RL,48,Pave,IR1,Mitchel,1Fam,1.5Fin,7,5,2003,Gd,VinylSd,TA,Ex,TA,GLQ,GasA,Ex,Y,1,1,1,Gd,6,Attchd,RFn,2,TA,TA,2009,8,WD,Abnorml,42.031307,-93.626967,133.222902,141.026754,58.621793,199.648547,62.24501,1191.202266,239.686,0,1.2005396663367653,1200.5396663367653
1088,FV,85,Pave,Reg,Somerst,1Fam,2Story,8,5,2005,Gd,VinylSd,TA,Gd,TA,Unf,GasA,Ex,Y,2,1,3,Gd,9,Attchd,RFn,3,TA,TA,2009,5,WD,Normal,42.052191,-93.643479,100.521046,100.521046,80.918513,181.439559,96.897829,982.356322,252,0,1.3888922646686988,1388.8922646686988
631,RM,50,Pave,Reg,OldTown,1Fam,2Story,5,6,1880,TA,VinylSd,TA,Fa,Fa,Unf,GasA,TA,Y,1,0,3,Ex,8,Detchd,Unf,1,Fa,Po,2006,6,WD,Abnorml,42.028863,-93.615497,59.086308,101.171367,61.408883,162.58025,22.29672,836.127,124,0,0.7627002664837826,762.7002664837827
143,RL,71,Pave,Reg,NAmes,1Fam,1.5Fin,5,4,1952,TA,BrkFace,Fa,TA,TA,Rec,GasA,Fa,Y,2,0,4,TA,6,Detchd,Unf,2,TA,TA,2010,6,WD,Normal,42.042966,-93.613556,84.54173,84.54173,44.128925,128.670655,66.89016,791.53356,166,0,1.2901154501778203,1290.1154501778203
1299,RL,313,Pave,IR3,Edwards,1Fam,2Story,10,5,2008,Ex,Stucco,TA,Ex,TA,GLQ,GasA,Ex,Y,2,1,3,Ex,12,Attchd,Fin,2,TA,TA,2008,1,New,Partial,42.0228,-93.66304,567.63733,435.900876,88.25785,524.158726,131.736454,5935.293961,160,0,0.3052510471799338,305.2510471799338
336,RL,NA,Grvl,IR1,Timber,2fmCon,1.5Fin,5,6,1965,TA,Plywood,TA,TA,TA,ALQ,GasA,Ex,Y,2,0,3,TA,7,Attchd,Fin,2,TA,TA,2008,8,WD,Normal,41.998132,-93.648335,139.261597,150.409957,15.514801,165.924758,49.145687,15297.40798,228.95,0.7,1.379842301773916,1379.842301773916
616,RL,80,Pave,Reg,NAmes,1Fam,SFoyer,6,7,1963,TA,MetalSd,Gd,TA,TA,GLQ,GasA,Ex,Y,1,0,3,Gd,6,Attchd,RFn,2,TA,TA,2010,5,WD,Abnorml,42.042966,-93.613556,86.957208,97.919762,0,97.919762,44.59344,817.5464,137.5,0,1.4042109293525447,1404.2109293525446
674,RL,110,Pave,Reg,Crawfor,1Fam,1Story,6,7,1957,TA,CemntBd,TA,TA,TA,GLQ,GasA,Ex,Y,2,0,3,Gd,7,Attchd,Fin,2,TA,TA,2007,6,WD,Normal,42.025949,-93.620215,137.217731,170.848617,0,170.848617,38.647648,1341.705126,257.5,0,1.5071822325608877,1507.1822325608878
909,RL,NA,Pave,IR1,Mitchel,1Fam,1Story,5,5,1983,TA,HdBoard,TA,Gd,TA,BLQ,GasA,TA,Y,1,0,2,TA,5,Attchd,Unf,2,TA,TA,2006,6,WD,Normal,42.031307,-93.626967,80.268192,83.798506,0,83.798506,44.965052,825.443155,131,0,1.563273693686138,1563.273693686138
1219,RM,52,Pave,Reg,BrkSide,1Fam,1.5Fin,4,5,1947,TA,AsbShng,TA,NA,NA,NA,GasA,Gd,N,1,0,2,TA,3,NA,NA,0,NA,NA,2006,7,WD,Normal,42.03359,-93.627552,0,62.430816,22.29672,84.727536,0,579.7147199999999,80.5,0,0.9501043438817812,950.1043438817812
1095,RL,74,Pave,Reg,NAmes,1Fam,1Story,5,7,1956,TA,MetalSd,TA,TA,TA,BLQ,GasA,Ex,Y,1,0,2,TA,4,Attchd,Fin,1,TA,TA,2010,5,WD,Normal,42.042966,-93.613556,86.957208,86.957208,0,86.957208,28.614124,545.154804,129,0,1.4834882923103971,1483.4882923103971
705,RL,70,Pave,Reg,CollgCr,1Fam,1Story,7,5,2004,Gd,VinylSd,TA,Gd,TA,GLQ,GasA,Ex,Y,2,0,3,Gd,7,Attchd,RFn,2,TA,TA,2010,5,WD,Normal,42.021051,-93.685643,136.846119,137.868052,0,137.868052,56.299217999999996,780.3851999999999,213,0,1.5449554621980153,1544.9554621980153
1403,RL,64,Pave,Reg,CollgCr,1Fam,1Story,7,5,2006,Gd,VinylSd,TA,Gd,Gd,Unf,GasA,Ex,Y,2,0,2,Gd,6,Attchd,RFn,2,TA,TA,2006,7,New,Partial,42.021051,-93.685643,119.473258,120.216482,0,120.216482,61.501786,628.210086,193.879,0,1.6127489074251897,1612.7489074251898
416,RL,73,Pave,IR1,Gilbert,1Fam,1Story,7,5,2007,Gd,VinylSd,TA,Gd,TA,GLQ,GasA,Ex,Y,2,0,3,Gd,6,Attchd,Fin,2,TA,TA,2007,8,New,Partial,42.027885,-93.615692,124.49002,124.49002,0,124.49002,36.789588,826.743797,181.134,0,1.45500820065737,1455.0082006573698
1397,RL,NA,Pave,IR1,Timber,1Fam,1Story,5,5,1948,TA,Wd Sdng,TA,TA,TA,BLQ,GasA,TA,Y,1,0,3,TA,7,Detchd,Unf,2,TA,TA,2010,6,WD,Normal,41.998132,-93.648335,69.398541,156.727361,0,156.727361,53.140516,5314.0516,160,0,1.0208810955478285,1020.8810955478284
425,RL,72,Pave,Reg,NAmes,1Fam,1Story,6,5,1956,TA,Wd Sdng,TA,Gd,TA,LwQ,GasA,Gd,Y,1,0,2,TA,6,Attchd,RFn,1,TA,TA,2008,5,WD,Normal,42.042966,-93.613556,111.111988,111.111988,0,111.111988,27.592191,836.127,139,0,1.2509901271859163,1250.9901271859162
460,RL,NA,Pave,IR1,BrkSide,1Fam,1.5Fin,5,4,1950,TA,MetalSd,TA,TA,TA,LwQ,GasA,TA,Y,1,0,3,Gd,5,Detchd,Unf,1,TA,TA,2009,7,WD,Normal,42.03359,-93.627552,65.868227,90.952037,20.810272,111.762309,32.701856,651.714545,110,0,0.9842316339402043,984.2316339402043
1138,RL,54,Pave,Reg,Sawyer,1Fam,1.5Fin,5,8,1875,TA,VinylSd,Gd,TA,TA,Unf,GasA,Gd,N,1,0,2,TA,6,NA,NA,0,NA,NA,2010,5,WD,Normal,42.033611,-93.669348,72.46433999999999,72.46433999999999,22.29672,94.76106,0,589.190826,94,0,0.9919686419717129,991.9686419717128
93,RL,80,Pave,IR1,Crawfor,1Fam,1Story,5,7,1921,TA,Wd Sdng,Gd,Gd,TA,ALQ,GasA,Ex,Y,1,0,2,TA,5,Detchd,Unf,2,TA,TA,2009,8,WD,Normal,42.025949,-93.620215,81.383028,89.558492,0,89.558492,40.134096,1241.18408,163.5,0,1.82562252164764,1825.62252164764
715,RL,NA,Pave,IR1,Sawyer,1Fam,2Story,6,8,1976,Gd,HdBoard,TA,TA,TA,GLQ,GasA,Ex,Y,2,1,3,Gd,6,Attchd,RFn,2,TA,TA,2010,3,WD,Normal,42.033611,-93.669348,67.354675,67.354675,70.048862,137.403537,44.128925,1255.769851,130.5,0,0.9497572103984485,949.7572103984485
1201,RL,71,Pave,Reg,NAmes,1Fam,1Story,4,5,1970,TA,MetalSd,TA,TA,TA,Unf,GasA,Gd,Y,1,0,3,TA,5,Attchd,Unf,1,TA,TA,2006,7,Oth,Abnorml,42.042966,-93.613556,80.268192,80.268192,0,80.268192,26.01284,868.921759,116.05,0,1.44577817325199,1445.77817325199
1284,RL,94,Pave,Reg,Mitchel,Duplex,2Story,6,5,1971,TA,MetalSd,TA,TA,TA,Unf,GasA,TA,Y,2,2,4,TA,8,NA,NA,0,NA,NA,2010,4,WD,Normal,42.031307,-93.626967,84.727536,84.727536,84.727536,169.455072,0,873.2882,139,0,0.8202764211153266,820.2764211153266
932,RL,70,Pave,Reg,NAmes,1Fam,1Story,5,6,1965,TA,VinylSd,TA,TA,TA,BLQ,GasA,Ex,Y,1,0,2,TA,5,Detchd,Unf,1,TA,TA,2009,7,WD,Normal,42.042966,-93.613556,85.935275,85.935275,0,85.935275,39.855387,845.4173,117.5,0,1.3673081281231716,1367.3081281231716
139,RL,73,Pave,IR1,CollgCr,1Fam,2Story,8,5,1999,Gd,VinylSd,TA,Gd,TA,GLQ,GasA,Ex,Y,2,1,3,Gd,7,Attchd,Fin,3,TA,TA,2008,12,WD,Normal,42.021051,-93.685643,93.274612,93.274612,78.781744,172.056356,61.315979999999996,842.258598,230,0,1.3367713076522438,1336.7713076522439
303,RL,118,Pave,IR1,CollgCr,1Fam,1Story,7,5,2001,Gd,VinylSd,TA,Gd,TA,Unf,GasA,Ex,Y,2,0,3,Gd,6,Attchd,RFn,3,TA,TA,2006,1,WD,Normal,42.021051,-93.685643,143.163523,143.163523,0,143.163523,78.317229,1273.142712,205,0,1.4319289977238128,1431.9289977238127
61,RL,63,Pave,Reg,SawyerW,1Fam,1Story,6,5,2004,TA,VinylSd,TA,Gd,TA,ALQ,GasA,Ex,Y,1,1,3,Gd,5,Detchd,Unf,2,TA,TA,2006,5,New,Partial,42.03554,-93.685131,107.58167399999999,107.58167399999999,0,107.58167399999999,53.512128,1214.428016,158,0,1.4686516218366337,1468.6516218366337
1429,RM,60,Pave,Reg,OldTown,1Fam,1Story,5,7,1940,TA,MetalSd,Gd,TA,TA,BLQ,GasA,TA,Y,1,0,2,Gd,4,Attchd,Unf,1,TA,TA,2010,2,WD,Abnorml,42.028863,-93.615497,73.207564,74.694012,0,74.694012,22.29672,668.9016,119,0,1.5931665312073477,1593.1665312073478
564,RL,66,Pave,Reg,Edwards,1Fam,1.5Fin,6,7,1918,TA,Wd Sdng,TA,Gd,TA,Unf,GasA,Ex,Y,2,0,4,TA,8,Detchd,Fin,2,TA,TA,2008,7,WD,Normal,42.0228,-93.66304,108.046189,108.046189,47.473433,155.519622,36.789588,2023.42734,185,0,1.189560504461617,1189.560504461617
162,RL,110,Pave,IR1,NridgHt,1Fam,2Story,9,5,2003,Gd,VinylSd,TA,Ex,TA,GLQ,GasA,Ex,Y,2,1,3,Ex,10,BuiltIn,Fin,3,TA,TA,2008,3,WD,Normal,42.060356,-93.657107,146.043516,146.043516,101.821688,247.865204,67.447578,1271.656264,412.5,0,1.664211003977791,1664.211003977791
684,RL,90,Pave,IR1,CollgCr,1Fam,1Story,9,5,2002,Gd,VinylSd,TA,Gd,TA,GLQ,GasA,Ex,Y,2,0,3,Gd,7,Attchd,Fin,3,TA,TA,2007,7,WD,Normal,42.021051,-93.685643,151.060278,154.96220399999999,0,154.96220399999999,65.217906,1044.972944,285,0,1.8391581472344058,1839.1581472344058
759,FV,24,Pave,Reg,Somerst,Twnhs,2Story,7,5,1999,TA,MetalSd,TA,Gd,TA,ALQ,GasA,Gd,Y,2,1,3,TA,6,Detchd,Unf,2,TA,TA,2008,8,WD,Normal,42.052191,-93.643479,69.119832,70.327571,69.119832,139.447403,40.87732,211.81884,179.4,0,1.2865065690753668,1286.5065690753668
517,RL,NA,Pave,IR1,NWAmes,1Fam,SLvl,6,6,1972,TA,HdBoard,TA,TA,TA,Unf,GasA,TA,Y,2,1,3,TA,7,Attchd,RFn,2,TA,TA,2009,8,COD,Abnorml,42.051321,-93.633798,64.010167,128.020334,68.841123,196.861457,54.162449,970.650544,158,0,0.8025948929149701,802.5948929149702
1225,RL,60,Pave,IR1,Gilbert,1Fam,2Story,7,5,2004,Gd,VinylSd,TA,Gd,TA,GLQ,GasA,Ex,Y,2,1,3,Gd,8,Attchd,Fin,2,TA,TA,2008,2,WD,Normal,42.027885,-93.615692,73.207564,73.207564,65.217906,138.42547,36.046364,1429.219752,184,0,1.3292351472601105,1329.2351472601106
1072,RL,78,Pave,Reg,NWAmes,1Fam,2Story,6,6,1968,TA,MetalSd,TA,TA,TA,Rec,GasA,Ex,Y,1,1,4,TA,8,Attchd,Unf,2,TA,TA,2009,5,WD,Normal,42.051321,-93.633798,67.540481,77.016587,67.540481,144.557068,40.970223,1086.9651,154,0,1.065323212006486,1065.3232120064858
573,RL,83,Pave,IR1,Timber,1Fam,2Story,7,5,2009,TA,VinylSd,TA,Ex,TA,Unf,GasA,Gd,Y,2,1,3,Gd,6,Attchd,RFn,2,TA,TA,2009,7,New,Partial,41.998132,-93.648335,78.595938,78.595938,78.595938,157.191876,60.38695,1222.510577,224.5,0,1.4281908563773358,1428.1908563773359
1296,RL,70,Pave,Reg,NAmes,1Fam,1Story,5,5,1968,TA,HdBoard,TA,TA,TA,BLQ,GasA,Gd,Y,1,1,3,TA,5,Attchd,RFn,1,TA,TA,2006,11,WD,Normal,42.042966,-93.613556,97.733956,97.733956,0,97.733956,26.756064,780.3851999999999,138.5,0,1.4171123902935023,1417.1123902935024
363,RL,64,Pave,Reg,Edwards,1Fam,SFoyer,7,5,2003,Gd,HdBoard,TA,NA,NA,NA,GasA,Ex,Y,3,0,4,Gd,7,BuiltIn,RFn,2,TA,TA,2009,7,ConLD,Normal,42.0228,-93.66304,0,45.986985,132.57258099999999,178.559566,62.430816,678.284803,198.5,0,1.1116738489384546,1111.6738489384545
767,RL,80,Pave,Reg,NWAmes,1Fam,2Story,7,5,1988,TA,HdBoard,TA,Gd,TA,GLQ,GasA,TA,Y,2,1,3,TA,7,Attchd,Unf,2,TA,TA,2010,3,WD,Normal,42.051321,-93.633798,91.04494,91.04494,68.190802,159.235742,46.079888,968.142163,196.5,0.5,1.2340194326472258,1234.0194326472258
118,RL,74,Pave,Reg,Edwards,1Fam,1Story,5,5,2006,TA,VinylSd,TA,Gd,TA,Unf,GasA,Gd,Y,1,1,2,TA,5,Attchd,Unf,2,TA,TA,2007,4,New,Partial,42.0228,-93.66304,104.515875,104.515875,0,104.515875,39.94829,793.020008,155,0,1.4830282959406884,1483.0282959406884
1082,RL,75,Pave,Reg,Sawyer,1Fam,1Story,5,5,1963,TA,HdBoard,TA,TA,TA,ALQ,GasA,Fa,Y,1,1,3,TA,5,Attchd,Fin,1,TA,TA,2010,6,WD,Normal,42.033611,-93.669348,96.61912,96.61912,0,96.61912,28.614124,696.7725,133,0,1.376539136353136,1376.539136353136
298,FV,66,Pave,IR1,Somerst,1Fam,2Story,7,5,1997,Gd,VinylSd,TA,Gd,TA,BLQ,GasA,Ex,Y,2,1,3,Gd,7,Detchd,RFn,2,TA,TA,2007,6,WD,Normal,42.052191,-93.643479,90.580425,90.580425,90.580425,181.16085,53.512128,687.3892969999999,239,0,1.3192695883244088,1319.2695883244087
