Gender,Age,Age25,Race,Offense,Recid,Type,Days
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,165
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,165
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,Yes,New,166
M,25-34,Over 25,White-NonHispanic,Misdemeanor,Yes,New,166
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,166
M,35-44,Over 25,Black-NonHispanic,Misdemeanor,Yes,New,167
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,167
M,35-44,Over 25,White-Hispanic,Felony,Yes,Tech,168
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,169
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,169
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,170
M,Under 25,Under 25,White-Hispanic,Misdemeanor,Yes,New,170
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,Tech,170
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,New,171
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,172
F,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,172
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,New,173
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,Tech,173
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,174
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,Tech,174
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,Tech,174
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,175
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,175
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,175
M,25-34,Over 25,White-Hispanic,Felony,Yes,Tech,176
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,177
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,177
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,178
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,178
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,179
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,182
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,227
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,Yes,New,183
M,55 and Older,Over 25,White-NonHispanic,Felony,Yes,Tech,183
M,45-54,Over 25,Black-NonHispanic,Felony,Yes,Tech,183
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,184
M,45-54,Over 25,American Indian or Alaska Native-NonHispanic,Misdemeanor,Yes,New,185
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,187
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,187
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,188
M,25-34,Over 25,White-Hispanic,Misdemeanor,Yes,Tech,188
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,189
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,190
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,190
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,191
M,35-44,Over 25,White-NonHispanic,Misdemeanor,Yes,Tech,191
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,192
M,Under 25,Under 25,White-Hispanic,Felony,Yes,Tech,193
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,193
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,194
M,45-54,Over 25,Black-NonHispanic,Misdemeanor,Yes,New,194
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,195
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,Tech,195
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,198
M,45-54,Over 25,Black-NonHispanic,Felony,Yes,New,198
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,198
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,198
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,198
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,198
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,199
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,201
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,201
F,55 and Older,Over 25,White-Hispanic,Felony,Yes,Tech,202
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,209
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,209
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,263
M,45-54,Over 25,White-NonHispanic,Misdemeanor,Yes,New,209
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,Yes,New,210
F,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,210
M,Under 25,Under 25,White-Hispanic,Felony,Yes,Tech,210
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,211
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,212
M,Under 25,Under 25,Black-NonHispanic,Misdemeanor,Yes,New,212
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,213
M,45-54,Over 25,White-NonHispanic,Felony,Yes,Tech,214
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,214
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,Tech,214
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,215
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,Tech,215
M,25-34,Over 25,Black-NonHispanic,Misdemeanor,Yes,Tech,216
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,216
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,New,217
M,25-34,Over 25,White-Hispanic,Felony,Yes,New,217
F,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,217
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,217
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,New,218
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,218
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,220
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,221
M,55 and Older,Over 25,White-NonHispanic,Misdemeanor,Yes,New,222
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,222
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,222
F,35-44,Over 25,White-NonHispanic,Felony,Yes,New,223
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,Tech,223
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,224
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,224
M,35-44,Over 25,White-Hispanic,Felony,Yes,New,224
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,224
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,225
M,55 and Older,Over 25,White-NonHispanic,Felony,Yes,New,226
F,45-54,Over 25,Black-NonHispanic,Felony,Yes,New,227
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,227
M,Under 25,Under 25,Black-NonHispanic,Felony,Yes,New,228
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,Tech,228
M,25-34,Over 25,White-NonHispanic,Misdemeanor,Yes,Tech,228
M,55 and Older,Over 25,Black-NonHispanic,Misdemeanor,Yes,New,229
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,229
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,229
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,Tech,229
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,229
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,230
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,231
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,231
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,Tech,231
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,Tech,231
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,232
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,232
M,Under 25,Under 25,American Indian or Alaska Native-NonHispanic,Felony,Yes,Tech,234
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,New,235
M,Under 25,Under 25,Black-NonHispanic,Felony,Yes,New,235
M,25-34,Over 25,Black-NonHispanic,Misdemeanor,Yes,Tech,235
M,Under 25,Under 25,Black-NonHispanic,Felony,Yes,Tech,237
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,238
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,239
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,239
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,239
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,239
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,New,240
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,240
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,241
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,242
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,242
M,45-54,Over 25,Black-NonHispanic,Felony,Yes,Tech,242
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,341
M,45-54,Over 25,Black-NonHispanic,Misdemeanor,Yes,New,243
F,45-54,Over 25,Black-NonHispanic,Felony,Yes,Tech,243
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,243
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,245
M,45-54,Over 25,White-NonHispanic,Felony,Yes,Tech,246
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,248
M,25-34,Over 25,White-NonHispanic,Misdemeanor,Yes,New,249
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,249
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,249
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,250
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,251
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,New,252
M,Under 25,Under 25,Black-NonHispanic,Felony,Yes,New,252
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,252
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,252
M,25-34,Over 25,White-Hispanic,Felony,Yes,Tech,252
M,45-54,Over 25,White-NonHispanic,Felony,Yes,Tech,252
F,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,253
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,New,254
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,254
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,256
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,256
M,45-54,Over 25,White-NonHispanic,Felony,Yes,Tech,257
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,258
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,Tech,258
F,Under 25,Under 25,White-NonHispanic,Misdemeanor,Yes,New,259
M,45-54,Over 25,Black-NonHispanic,Felony,Yes,New,260
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,260
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,261
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,261
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,262
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,262
M,45-54,Over 25,Black-NonHispanic,Felony,Yes,New,262
M,Under 25,Under 25,Black-NonHispanic,Misdemeanor,Yes,Tech,264
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,266
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,Tech,266
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,New,267
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,New,267
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,267
M,35-44,Over 25,Black-NonHispanic,Misdemeanor,Yes,New,268
M,Under 25,Under 25,Black-NonHispanic,Felony,Yes,Tech,268
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,269
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,270
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,271
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,271
M,55 and Older,Over 25,White-NonHispanic,Felony,Yes,New,272
M,45-54,Over 25,White-NonHispanic,Misdemeanor,Yes,New,272
F,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,272
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,New,273
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,273
F,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,273
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,273
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,Tech,273
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,Yes,New,274
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,Tech,274
M,25-34,Over 25,Black-NonHispanic,Misdemeanor,Yes,Tech,274
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,Tech,274
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,275
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,275
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,276
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,279
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,New,279
M,35-44,Over 25,Black-NonHispanic,Misdemeanor,Yes,New,280
M,45-54,Over 25,White-NonHispanic,Felony,Yes,Tech,281
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,282
M,45-54,Over 25,White-NonHispanic,Misdemeanor,Yes,New,282
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,282
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,New,282
M,45-54,Over 25,White-NonHispanic,Felony,Yes,Tech,282
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,283
F,35-44,Over 25,White-NonHispanic,Misdemeanor,Yes,New,283
M,45-54,Over 25,White-NonHispanic,Misdemeanor,Yes,New,284
F,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,284
M,25-34,Over 25,White-Hispanic,Felony,Yes,Tech,285
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,285
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,286
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,Yes,Tech,286
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,286
M,25-34,Over 25,American Indian or Alaska Native-NonHispanic,Misdemeanor,Yes,New,287
M,25-34,Over 25,White-NonHispanic,Misdemeanor,Yes,Tech,287
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,288
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,288
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,288
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,New,289
M,25-34,Over 25,White-NonHispanic,Misdemeanor,Yes,New,289
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,290
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,291
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,Tech,291
M,55 and Older,Over 25,White-NonHispanic,Misdemeanor,Yes,Tech,292
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,293
F,45-54,Over 25,White-NonHispanic,Felony,Yes,New,295
M,Under 25,Under 25,Black-NonHispanic,Misdemeanor,Yes,New,295
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,295
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,296
M,45-54,Over 25,Black-NonHispanic,Felony,Yes,Tech,296
F,Under 25,Under 25,White-NonHispanic,Misdemeanor,Yes,Tech,296
M,25-34,Over 25,American Indian or Alaska Native-NonHispanic,Misdemeanor,Yes,New,297
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,297
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,297
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,298
M,35-44,Over 25,Black-NonHispanic,Misdemeanor,Yes,New,299
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,299
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,300
F,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,300
M,45-54,Over 25,White-NonHispanic,Felony,Yes,Tech,301
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,303
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,303
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,305
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,306
F,35-44,Over 25,Black-NonHispanic,Misdemeanor,Yes,New,306
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,307
M,45-54,Over 25,White-NonHispanic,Felony,Yes,Tech,307
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,308
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,308
M,55 and Older,Over 25,White-NonHispanic,Felony,Yes,Tech,309
M,25-34,Over 25,White-NonHispanic,Misdemeanor,Yes,New,310
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,310
M,55 and Older,Over 25,Black-NonHispanic,Felony,Yes,Tech,310
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,311
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,312
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,Tech,312
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,New,313
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,313
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,314
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,314
M,Under 25,Under 25,Black-NonHispanic,Felony,Yes,Tech,314
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,314
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,314
M,45-54,Over 25,Black-NonHispanic,Felony,Yes,New,318
M,45-54,Over 25,Black-NonHispanic,Felony,Yes,Tech,319
