cuenta_total,propina,fumador,dia,momento,num_personas
19.44,3,Si,Jue,Comida,2
16.66,3.4,No,Jue,Comida,2
10.07,1.83,No,Jue,Comida,1
32.68,5,Si,Jue,Comida,2
15.98,2.03,No,Jue,Comida,2
34.83,5.17,No,Jue,Comida,4
13.03,2,No,Jue,Comida,2
18.28,4,No,Jue,Comida,2
24.71,5.85,No,Jue,Comida,2
21.16,3,No,Jue,Comida,2
28.97,3,Si,Vie,Cena,2
22.49,3.5,No,Vie,Cena,2
5.75,1,Si,Vie,Cena,2
16.32,4.3,Si,Vie,Cena,2
22.75,3.25,No,Vie,Cena,2
40.17,4.73,Si,Vie,Cena,4
27.28,4,Si,Vie,Cena,2
12.03,1.5,Si,Vie,Cena,2
21.01,3,Si,Vie,Cena,2
12.46,1.5,No,Vie,Cena,2
11.35,2.5,Si,Vie,Cena,2
15.38,3,Si,Vie,Cena,2
44.3,2.5,Si,Sab,Cena,3
22.42,3.48,Si,Sab,Cena,2
20.92,4.08,No,Sab,Cena,2
15.36,1.64,Si,Sab,Cena,2
20.49,4.06,Si,Sab,Cena,2
25.21,4.29,Si,Sab,Cena,2
18.24,3.76,No,Sab,Cena,2
14.31,4,Si,Sab,Cena,2
14,3,No,Sab,Cena,2
7.25,1,No,Sab,Cena,1
38.07,4,No,Dom,Cena,3
23.95,2.55,No,Dom,Cena,2
25.71,4,No,Dom,Cena,3
17.31,3.5,No,Dom,Cena,2
29.93,5.07,No,Dom,Cena,4
10.65,1.5,No,Jue,Comida,2
12.43,1.8,No,Jue,Comida,2
24.08,2.92,No,Jue,Comida,4
11.69,2.31,No,Jue,Comida,2
13.42,1.68,No,Jue,Comida,2
14.26,2.5,No,Jue,Comida,2
15.95,2,No,Jue,Comida,2
12.48,2.52,No,Jue,Comida,2
29.8,4.2,No,Jue,Comida,6
8.52,1.48,No,Jue,Comida,2
14.52,2,No,Jue,Comida,2
11.38,2,No,Jue,Comida,2
22.82,2.18,No,Jue,Comida,3
19.08,1.5,No,Jue,Comida,2
20.27,2.83,No,Jue,Comida,2
11.17,1.5,No,Jue,Comida,2
12.26,2,No,Jue,Comida,2
18.26,3.25,No,Jue,Comida,2
8.51,1.25,No,Jue,Comida,2
10.33,2,No,Jue,Comida,2
14.15,2,No,Jue,Comida,2
16,2,Si,Jue,Comida,2
13.16,2.75,No,Jue,Comida,2
17.47,3.5,No,Jue,Comida,2
34.3,6.7,No,Jue,Comida,6
41.19,5,No,Jue,Comida,5
27.05,5,No,Jue,Comida,6
16.43,2.3,No,Jue,Comida,2
8.35,1.5,No,Jue,Comida,2
18.64,1.36,No,Jue,Comida,3
11.87,1.63,No,Jue,Comida,2
9.78,1.73,No,Jue,Comida,2
7.51,2,No,Jue,Comida,2
14.07,2.5,No,Dom,Cena,2
13.13,2,No,Dom,Cena,2
17.26,2.74,No,Dom,Cena,3
24.55,2,No,Dom,Cena,4
19.77,2,No,Dom,Cena,4
29.85,5.14,No,Dom,Cena,5
48.17,5,No,Dom,Cena,6
25,3.75,No,Dom,Cena,4
13.39,2.61,No,Dom,Cena,2
16.49,2,No,Dom,Cena,4
21.5,3.5,No,Dom,Cena,4
12.66,2.5,No,Dom,Cena,2
16.21,2,No,Dom,Cena,3
13.81,2,No,Dom,Cena,2
17.51,3,Si,Dom,Cena,2
24.52,3.48,No,Dom,Cena,3
20.76,2.24,No,Dom,Cena,2
31.71,4.5,No,Dom,Cena,4
10.59,1.61,Si,Sab,Cena,2
10.63,2,Si,Sab,Cena,2
50.81,10,Si,Sab,Cena,3
15.81,3.16,Si,Sab,Cena,2
7.25,5.15,Si,Dom,Cena,2
31.85,3.18,Si,Dom,Cena,2
16.82,4,Si,Dom,Cena,2
32.9,3.11,Si,Dom,Cena,2
17.89,2,Si,Dom,Cena,2
14.48,2,Si,Dom,Cena,2
9.6,4,Si,Dom,Cena,2
34.63,3.55,Si,Dom,Cena,2
34.65,3.68,Si,Dom,Cena,4
23.33,5.65,Si,Dom,Cena,2
45.35,3.5,Si,Dom,Cena,3
23.17,6.5,Si,Dom,Cena,4
40.55,3,Si,Dom,Cena,2
20.69,5,No,Dom,Cena,5
20.9,3.5,Si,Dom,Cena,3
30.46,2,Si,Dom,Cena,5
18.15,3.5,Si,Dom,Cena,3
23.1,4,Si,Dom,Cena,3
15.69,1.5,Si,Dom,Cena,2
19.81,4.19,Si,Jue,Comida,2
28.44,2.56,Si,Jue,Comida,2
15.48,2.02,Si,Jue,Comida,2
16.58,4,Si,Jue,Comida,2
7.56,1.44,No,Jue,Comida,2
10.34,2,Si,Jue,Comida,2
43.11,5,Si,Jue,Comida,4
13,2,Si,Jue,Comida,2
13.51,2,Si,Jue,Comida,2
18.71,4,Si,Jue,Comida,3
12.74,2.01,Si,Jue,Comida,2
13,2,Si,Jue,Comida,2
16.4,2.5,Si,Jue,Comida,2
20.53,4,Si,Jue,Comida,4
16.47,3.23,Si,Jue,Comida,3
26.59,3.41,Si,Sab,Cena,3
38.73,3,Si,Sab,Cena,4
24.27,2.03,Si,Sab,Cena,2
12.76,2.23,Si,Sab,Cena,2
30.06,2,Si,Sab,Cena,3
25.89,5.16,Si,Sab,Cena,4
48.33,9,No,Sab,Cena,4
13.27,2.5,Si,Sab,Cena,2
28.17,6.5,Si,Sab,Cena,3
12.9,1.1,Si,Sab,Cena,2
28.15,3,Si,Sab,Cena,5
11.59,1.5,Si,Sab,Cena,2
7.74,1.44,Si,Sab,Cena,2
30.14,3.09,Si,Sab,Cena,4
12.16,2.2,Si,Vie,Comida,2
13.42,3.48,Si,Vie,Comida,2
8.58,1.92,Si,Vie,Comida,1
15.98,3,No,Vie,Comida,3
13.42,1.58,Si,Vie,Comida,2
16.27,2.5,Si,Vie,Comida,2
10.09,2,Si,Vie,Comida,2
20.45,3,No,Sab,Cena,4
13.28,2.72,No,Sab,Cena,2
22.12,2.88,Si,Sab,Cena,2
24.01,2,Si,Sab,Cena,4
15.69,3,Si,Sab,Cena,3
11.61,3.39,No,Sab,Cena,2
10.77,1.47,No,Sab,Cena,2
15.53,3,Si,Sab,Cena,2
10.07,1.25,No,Sab,Cena,2
12.6,1,Si,Sab,Cena,2
32.83,1.17,Si,Sab,Cena,2
35.83,4.67,No,Sab,Cena,3
29.03,5.92,No,Sab,Cena,3
27.18,2,Si,Sab,Cena,2
22.67,2,Si,Sab,Cena,2
17.82,1.75,No,Sab,Cena,2
18.78,3,No,Jue,Cena,2
