breakfast,tea.time,evening,lunch,dinner,always,home,work,tearoom,friends,resto,pub,Tea,How,sugar,how,where,price,age,sex,SPC,Sport,age_Q,frequency,escape.exoticism,spirituality,healthy,diuretic,friendliness,iron.absorption,feminine,sophisticated,slimming,exciting,relaxing,effect.on.health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,work,Not.tearoom,Not.friends,Not.resto,Not.pub,Earl Grey,alone,sugar,tea bag+unpackaged,chain store+tea shop,p_variable,38,F,middle,Not.sportsman,35-44,3 to 6/week,escape-exoticism,spirituality,Not.healthy,Not.diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,exciting,No.relaxing,No.effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,black,alone,No.sugar,tea bag,chain store,p_private label,50,F,non-worker,Not.sportsman,45-59,3 to 6/week,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,tea time,evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,friends,resto,pub,black,lemon,No.sugar,tea bag+unpackaged,chain store+tea shop,p_upscale,26,F,employee,sportsman,25-34,1/day,Not.escape-exoticism,Not.spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,No.relaxing,No.effect on health
breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,Earl Grey,milk,sugar,tea bag,chain store,p_variable,39,M,senior,Not.sportsman,35-44,1/day,escape-exoticism,Not.spirituality,Not.healthy,diuretic,Not.friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,No.relaxing,No.effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,green,alone,No.sugar,tea bag+unpackaged,chain store,p_branded,17,F,student,sportsman,15-24,1/day,Not.escape-exoticism,Not.spirituality,Not.healthy,diuretic,Not.friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,green,alone,No.sugar,tea bag,chain store,p_branded,45,F,non-worker,Not.sportsman,45-59,+2/day,escape-exoticism,spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,home,work,tearoom,friends,resto,Not.pub,Earl Grey,milk,No.sugar,tea bag,chain store+tea shop,p_branded,36,F,middle,Not.sportsman,35-44,+2/day,Not.escape-exoticism,spirituality,healthy,diuretic,Not.friendliness,Not.iron absorption,feminine,sophisticated,slimming,No.exciting,No.relaxing,No.effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,green,alone,No.sugar,tea bag+unpackaged,chain store+tea shop,p_branded,37,F,middle,Not.sportsman,35-44,3 to 6/week,escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,No.exciting,No.relaxing,effect on health
breakfast,tea time,Not.evening,lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,Earl Grey,alone,sugar,tea bag,chain store,p_branded,71,F,non-worker,Not.sportsman,+60,+2/day,escape-exoticism,Not.spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,feminine,sophisticated,slimming,No.exciting,relaxing,No.effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,work,tearoom,friends,Not.resto,Not.pub,green,alone,No.sugar,tea bag,chain store,p_private label,48,F,other worker,sportsman,45-59,+2/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,Not.sophisticated,No.slimming,No.exciting,No.relaxing,No.effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,friends,resto,Not.pub,Earl Grey,milk,No.sugar,tea bag,chain store,p_branded,23,F,student,Not.sportsman,15-24,1/day,escape-exoticism,spirituality,healthy,diuretic,friendliness,iron absorption,Not.feminine,sophisticated,No.slimming,exciting,relaxing,No.effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,tearoom,friends,resto,Not.pub,black,other,No.sugar,tea bag,chain store+tea shop,p_variable,70,F,non-worker,Not.sportsman,+60,+2/day,escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,Not.tea time,evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,Earl Grey,alone,No.sugar,tea bag,chain store,p_variable,19,F,student,sportsman,15-24,3 to 6/week,escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,iron absorption,feminine,sophisticated,slimming,No.exciting,relaxing,No.effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,always,home,work,tearoom,friends,resto,pub,Earl Grey,milk,sugar,tea bag,chain store,p_variable,25,F,student,sportsman,25-34,1/day,escape-exoticism,Not.spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,Not.tea time,evening,Not.lunch,dinner,Not.always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,Earl Grey,alone,sugar,tea bag,chain store,p_unknown,22,F,student,Not.sportsman,15-24,1 to 2/week,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,Earl Grey,alone,No.sugar,tea bag+unpackaged,chain store+tea shop,p_variable,22,F,student,sportsman,15-24,1 to 2/week,Not.escape-exoticism,spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,work,Not.tearoom,Not.friends,Not.resto,Not.pub,Earl Grey,alone,No.sugar,tea bag+unpackaged,chain store,p_private label,34,F,employee,Not.sportsman,25-34,1/day,Not.escape-exoticism,Not.spirituality,Not.healthy,Not.diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,exciting,No.relaxing,effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,tearoom,friends,resto,Not.pub,black,alone,No.sugar,tea bag+unpackaged,chain store+tea shop,p_upscale,23,F,student,sportsman,15-24,+2/day,Not.escape-exoticism,Not.spirituality,Not.healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,friends,Not.resto,pub,Earl Grey,alone,sugar,tea bag+unpackaged,chain store+tea shop,p_variable,21,F,employee,sportsman,15-24,1/day,escape-exoticism,Not.spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,feminine,Not.sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,tea time,evening,Not.lunch,Not.dinner,always,home,Not.work,tearoom,friends,Not.resto,Not.pub,black,alone,sugar,tea bag+unpackaged,chain store,p_upscale,37,F,employee,sportsman,35-44,1 to 2/week,Not.escape-exoticism,spirituality,Not.healthy,Not.diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,relaxing,effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,work,Not.tearoom,friends,Not.resto,pub,Earl Grey,alone,No.sugar,unpackaged,tea shop,p_upscale,40,F,non-worker,sportsman,35-44,3 to 6/week,Not.escape-exoticism,Not.spirituality,Not.healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,No.relaxing,effect on health
Not.breakfast,tea time,evening,Not.lunch,dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,Earl Grey,alone,sugar,tea bag,chain store,p_upscale,18,F,student,sportsman,15-24,1 to 2/week,Not.escape-exoticism,Not.spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,No.exciting,relaxing,effect on health
Not.breakfast,Not.tea time,evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,green,milk,sugar,tea bag,chain store,p_branded,18,F,employee,sportsman,15-24,1/day,Not.escape-exoticism,Not.spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,feminine,Not.sophisticated,No.slimming,No.exciting,No.relaxing,No.effect on health
Not.breakfast,tea time,evening,Not.lunch,Not.dinner,always,home,work,tearoom,friends,Not.resto,Not.pub,Earl Grey,alone,No.sugar,tea bag+unpackaged,chain store,p_variable,56,F,middle,sportsman,45-59,3 to 6/week,escape-exoticism,Not.spirituality,Not.healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,No.relaxing,No.effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,tearoom,friends,Not.resto,pub,green,alone,No.sugar,tea bag,chain store,p_variable,34,F,other worker,Not.sportsman,25-34,1/day,escape-exoticism,spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
breakfast,Not.tea time,evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,Earl Grey,milk,sugar,tea bag+unpackaged,chain store+tea shop,p_variable,32,M,other worker,sportsman,25-34,+2/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,exciting,No.relaxing,No.effect on health
Not.breakfast,tea time,Not.evening,lunch,Not.dinner,Not.always,home,Not.work,tearoom,friends,Not.resto,Not.pub,green,lemon,sugar,tea bag+unpackaged,chain store+tea shop,p_variable,60,F,senior,Not.sportsman,+60,3 to 6/week,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,exciting,No.relaxing,No.effect on health
breakfast,tea time,Not.evening,lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,friends,resto,pub,black,alone,No.sugar,tea bag+unpackaged,chain store,p_branded,66,F,non-worker,sportsman,+60,+2/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,exciting,relaxing,No.effect on health
breakfast,tea time,Not.evening,lunch,Not.dinner,Not.always,home,work,tearoom,friends,resto,Not.pub,Earl Grey,alone,No.sugar,tea bag+unpackaged,chain store+tea shop,p_variable,49,F,senior,sportsman,45-59,3 to 6/week,escape-exoticism,Not.spirituality,Not.healthy,diuretic,Not.friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,No.relaxing,No.effect on health
breakfast,tea time,evening,lunch,Not.dinner,always,home,work,Not.tearoom,friends,Not.resto,Not.pub,Earl Grey,alone,No.sugar,unpackaged,tea shop,p_branded,28,F,student,Not.sportsman,25-34,+2/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,Earl Grey,alone,No.sugar,tea bag,chain store,p_variable,22,F,non-worker,Not.sportsman,15-24,1/day,escape-exoticism,spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,slimming,exciting,No.relaxing,No.effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,home,work,Not.tearoom,friends,resto,pub,black,alone,No.sugar,tea bag,chain store+tea shop,p_variable,35,F,middle,Not.sportsman,35-44,+2/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,iron absorption,feminine,sophisticated,No.slimming,No.exciting,No.relaxing,No.effect on health
Not.breakfast,Not.tea time,evening,Not.lunch,Not.dinner,Not.always,home,work,Not.tearoom,friends,Not.resto,Not.pub,Earl Grey,alone,sugar,tea bag+unpackaged,chain store,p_variable,25,F,employee,sportsman,25-34,1 to 2/week,Not.escape-exoticism,spirituality,healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,exciting,relaxing,No.effect on health
Not.breakfast,tea time,evening,Not.lunch,dinner,Not.always,home,Not.work,tearoom,friends,resto,Not.pub,black,other,No.sugar,tea bag+unpackaged,chain store+tea shop,p_upscale,62,F,non-worker,sportsman,+60,1/day,escape-exoticism,spirituality,healthy,diuretic,friendliness,iron absorption,feminine,sophisticated,No.slimming,exciting,relaxing,No.effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,always,home,Not.work,tearoom,friends,resto,pub,Earl Grey,alone,No.sugar,tea bag+unpackaged,chain store+tea shop,p_variable,57,F,non-worker,Not.sportsman,45-59,+2/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,No.exciting,No.relaxing,No.effect on health
Not.breakfast,Not.tea time,evening,lunch,Not.dinner,Not.always,home,work,Not.tearoom,friends,Not.resto,pub,Earl Grey,lemon,sugar,tea bag+unpackaged,chain store+tea shop,p_variable,20,F,student,sportsman,15-24,3 to 6/week,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,exciting,relaxing,No.effect on health
breakfast,tea time,Not.evening,lunch,Not.dinner,Not.always,home,work,Not.tearoom,friends,Not.resto,pub,Earl Grey,lemon,No.sugar,tea bag,chain store,p_variable,22,F,student,sportsman,15-24,1/day,escape-exoticism,spirituality,Not.healthy,diuretic,friendliness,Not.iron absorption,feminine,Not.sophisticated,No.slimming,No.exciting,relaxing,effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,pub,Earl Grey,alone,sugar,tea bag,chain store,p_branded,36,F,employee,sportsman,35-44,1/day,escape-exoticism,Not.spirituality,Not.healthy,Not.diuretic,friendliness,iron absorption,feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
